index,text,Diacterized,Buckwalter,Cleaned_Text
16861,اللي بتستخدم في تصنيع الرقائق الإلكترونية المتطورة,اللّي بِتُسْتَخْدَمَ في تَصْنيعِ الرَّقائِقِ الإِلِكْتِرونيَّةِ المُتَطَوِّرَةِ,All~y bitusotaxodama fy taSonyEi Alr~aqA}iqi Al<ilikotirwny~api AlmutaTaw~irapi,ally btustkhdm fy tsnye alrqayq alilktrwnyt almuttwrt
16862, لأي شركة صينية,لِأَيِّ شَرِكَةٍ صينيَّةً,li>ay~i $arikapK Syny~apF,lay shrkt synyt
16863,الأمريكان مدركين مدى أهمية وخطورة,الأَمْريكانُ مُدْرِكينَ مَدَى أَهَمّيَّةِ وَخُطورَةِ,Al>amorykAnu mudorikyna madaY >aham~y~api waxuTwrapi,alamrykanu mudrkyn mda ahmyt wkhutwrt
16864,صناعة الرقائق الإلكترونية,صِناعَةُ الرَّقائِقِ الإِلِكْتِرونيَّةُ,SinAEapu Alr~aqA}iqi Al<ilikotirwny~apu,snaetu alrqayq alilktrwnytu
16865, وعارفين إن الصين,وَعارِفينَ إِنَّ الصّينَ,waEArifyna <in~a AlS~yna,wearfyn in alsyn
16866,لو قدرت تصنع رقائق إلكترونية متطورة,لَوْ قَدَّرتَ تَصْنَعُ رَقائِقَ إِلِكْتِرونيَّةٍ مُتَطَوِّرَةٍ,lawo qad~arta taSonaEu raqA}iqa <ilikotirwny~apK mutaTaw~irapK,lw qdrt tsneu rqayq ilktrwnyt muttwrt
16867,فهي هتستخدمها غالبا في تصنيع أحدث الأسلحة,فَهيَ هتستخدمها غالِبًا في تَصْنيعِ أَحْدَثِ الأَسْلِحَةِ,fahya htstxdmhA gAlibFA fy taSonyEi >aHodavi Al>asoliHapi,fhy htstkhdmha ghalba fy tsnye ahdth alaslht
16868,علشان كدا فيه حرص أمريكي على إن الصينيين,عَلَشانٌ كَدا فيهِ حِرْصَ أَمْريكيٍّ عَلَى إِنَّ الصّينيّينَ,Eala$AnN kadA fyhi HiroSa >amoryky~K EalaY <in~a AlS~yny~yna,elshan kda fyh hrs amryky ela in alsynyyn
16869,يكونوا متخلفين في الصناعة دي,يَكونوا مُتَخَلِّفينَ في الصِّناعَةِ دي,yakwnwA mutaxal~ifyna fy AlS~inAEapi dy,ykwnwa mutkhlfyn fy alsnaet dy
16870,جيلين على الأقل,جيلَيْنِ عَلَى الأَقَلِّ,jylayoni EalaY Al>aqal~i,jylyn ela alaql
16871,مقارنة مع أحدث تكنولوجيا متاحة النهار دا,مُقارَنَةُ مَعَ أَحْدَثِ تِكْنولوجْيا مُتاحَةٌ النَّهارِ دا,muqAranapu maEa >aHodavi tikonwlwjoyA mutAHapN Aln~ahAri dA,muqarntu me ahdth tknwlwjya mutaht alnhar da
16872,الجهود الأمريكية في الاتجاه دا,الجُهودُ الأَمْريكيَّةُ في الِاتِّجاهِ دا,Aljuhwdu Al>amoryky~apu fy AliAt~ijAhi dA,aljuhwdu alamrykytu fy alatjah da
16873,كتيرة ومتشعبة,كَتيرَةٌ وَمُتَشَعِّبَةٌ,katyrapN wamuta$aE~ibapN,ktyrt wmutshebt
16874, وأنا كنت شرحتها باستفاضة في حلقة,وَأَنا كُنْتْ شرحتَها بِاسْتِفاضَةٍ في حَلْقَةٍ,wa>anA kunoto $rHtahA biAsotifADapK fy HaloqapK,wana kunt shrhtha bastfadt fy hlqt
16875,أمريكا تضرب والصين تصرخ,أَمْريكا تَضْرِبُ والصّينُ تَصْرُخُ,>amorykA taDoribu wAlS~ynu taSoruxu,amryka tdrbu walsynu tsrukhu
16876, اللي لازم تتفرجوا عليها,اللّي لازِمَ تَتَفَرَّجوا عَلَيْها,All~y lAzima tatafar~ajwA EalayohA,ally lazm ttfrjwa elyha
16877,علشان تعرفوا لأي مدى,عَلَشانْ تُعْرَفوا لِأَيِّ مَدَى,Eala$Ano tuEorafwA li>ay~i madaY,elshan tuerfwa lay mda
16878,أمريكا مصرة على قتل طموحات الصين,أَمْريكا مُصِرَّةً عَلَى قَتْلِ طُموحاتِ الصّينِ,>amorykA muSir~apF EalaY qatoli TumwHAti AlS~yni,amryka musrt ela qtl tumwhat alsyn
16879,في المجال دا بالتحديد,في المَجالِ دا بِالتَّحْديدِ,fy AlmajAli dA biAlt~aHodydi,fy almjal da balthdyd
16880, وحكايتها مع الصين,وَحِكايَتَها مَعَ الصّينِ,waHikAyatahA maEa AlS~yni,whkaytha me alsyn
16881,بصوا يا جماعة,بصوا يا جَماعَةَ,bSwA yA jamAEapa,bswa ya jmaet
16882,الرقائق أو الشرائح الإلكترونية,الرَّقائِقِ أَوْ الشَّرائِحِ الإِلِكْتِرونيَّةِ,Alr~aqA}iqi >awo Al$~arA}iHi Al<ilikotirwny~api,alrqayq aw alshrayh alilktrwnyt
16883, اللي بتشغل التليفون والطيارة والصاروخ,اللّي بِتَشْغَلُ التِّليفونَ والطَّيّارَةِ والصّاروخِ,All~y bita$ogalu Alt~ilyfwna wAlT~ay~Arapi wAlS~Arwxi,ally btshghlu altlyfwn waltyart walsarwkh
16884,وأي جهاز إلكتروني في الدنيا,وَأَيُّ جِهازٍ إِلِكْتُرونيٍّ في الدُّنْيا,wa>ay~u jihAzK <ilikoturwny~K fy Ald~unoyA,wayu jhaz ilkturwny fy aldunya
16885,بيتم تصنيعها باستخدام آلات الطباعة الحجرية,بيُتْمْ تَصْنيعَها بِاسْتِخْدامِ آلاتِ الطِّباعَةِ الحَجَريَّةِ,byutomo taSonyEahA biAsotixodAmi |lAti AlT~ibAEapi AlHajary~api,byutm tsnyeha bastkhdam alat altbaet alhjryt
16886,آلات الطباعة الحجرية دي,آلاتُ الطِّباعَةِ الحَجَريَّةِ دي,|lAtu AlT~ibAEapi AlHajary~api dy,alatu altbaet alhjryt dy
16887,فيه منها النهار دا,فيهِ مِنْها النَّهارُ دا,fyhi minohA Aln~ahAru dA,fyh mnha alnharu da
16888, نوعين أساسيين,نَوْعَيْنِ أَساسيّينَ,nawoEayoni >asAsy~yna,nweyn asasyyn
16889,كل واحد فيهم شغال بتكنولوجيا مختلفة,كُلُّ واحِدِ فيهِمْ شَغّالٌ بِتِكْنولوجْيا مُخْتَلِفَةٍ,kul~u wAHidi fyhimo $ag~AlN bitikonwlwjoyA muxotalifapK,kulu wahd fyhm shghal btknwlwjya mukhtlft
16890,النوع الأول,النَّوْعُ الأَوَّلُ,Aln~awoEu Al>aw~alu,alnweu alawlu
16891,هو الآلات اللي شغالة بالتكنولوجيا ,هوَ الآلاتِ اللّي شِغالَةٍ بِالتِّكْنولوجْيا,hwa Al|lAti All~y $igAlapK biAlt~ikonwlwjoyA,hw alalat ally shghalt baltknwlwjya
16892,أو الأشعة فوق البنفسجية العميقة,أَوْ الأَشِعَّةِ فَوْقَ البَنَفْسَجيَّةِ العَميقَةِ,>awo Al>a$iE~api fawoqa Albanafosajy~api AlEamyqapi,aw alashet fwq albnfsjyt alemyqt
16893,والمعروفة اختصارا,والْمَعْروفَةُ اخْتِصارًا,wAlomaEorwfapu AxotiSArFA,walmerwftu akhtsara
16894,معظم آلات الطباعة الحجرية في العالم,مُعْظَمُ آلاتِ الطِّباعَةِ الحَجَريَّةِ في العالَمِ,muEoZamu |lAti AlT~ibAEapi AlHajary~api fy AlEAlami,muezmu alat altbaet alhjryt fy alealm
16895,اللي بتستخدم في صناعة الرقائق الإلكترونية,اللّي بِتُسْتَخْدَمَ في صِناعَةِ الرَّقائِقِ الإِلِكْتِرونيَّةُ,All~y bitusotaxodama fy SinAEapi Alr~aqA}iqi Al<ilikotirwny~apu,ally btustkhdm fy snaet alrqayq alilktrwnytu
16896,اللي بيصنع الآلات اللي شغالة بالتكنولوجيا دي,اللّي بيَصْنَعُ الآلاتِ اللّي شِغالَةٍ بِالتِّكْنولوجْيا دي,All~y byaSonaEu Al|lAti All~y $igAlapK biAlt~ikonwlwjoyA dy,ally bysneu alalat ally shghalt baltknwlwjya dy
16897,هم تلات شركات في العالم,هُمْ تَلات شَرِكاتٌ في العالَمِ,humo talAt $arikAtN fy AlEAlami,hum tlat shrkat fy alealm
16898,لكن التلات شركات مش راس براس,لَكِنَّ التَّلاُّتَ شَرِكاتٌ مَشَّ راسِ بِراسْ,lakin~a Alt~alA~uta $arikAtN ma$~a rAsi birAso,lkn altlaut shrkat msh ras bras
16899,يعني مش زي بعض,يَعْني مَشَّ زيّ بَعْضِ,yaEony ma$~a zy~ baEoDi,yeny msh zy bed
16900, اليابانيين كانوا بينافسوها على استحياء,اليابانيّينَ كانوا بينافسوها عَلَى اسْتِحْياءٍ,AlyAbAny~yna kAnwA bynAfswhA EalaY AsotiHoyA'K,alyabanyyn kanwa bynafswha ela asthyae
16901,لكن المنافسة بتنعدم تماما,لَكِنَّ المُنافَسَةَ بِتَنْعَدِمَ تَمامًا,lakin~a AlmunAfasapa bitanoEadima tamAmFA,lkn almunafst btnedm tmama
16902,والموضوع بيتحول لاحتكار كامل,والْمَوْضوعُ بيَتَحَوَّلَ لِاحْتِكارِ كامِلٍ,wAlomawoDwEu byataHaw~ala liAHotikAri kAmilK,walmwdweu bythwl lahtkar kaml
16903,لما نيجي نتكلم على آلات الطباعة الحجرية,لِما نيجي نَتَكَلَّمُ عَلَى آلاتِ الطِّباعَةِ الحَجَريَّةِ,limA nyjy natakal~amu EalaY |lAti AlT~ibAEapi AlHajary~api,lma nyjy ntklmu ela alat altbaet alhjryt
16904, أو الأشعة فوق البنفسجية القصوى,أَوْ الأَشِعَّةِ فَوْقَ البَنَفْسَجيَّةِ القُصْوَى,>awo Al>a$iE~api fawoqa Albanafosajy~api AlquSowaY,aw alashet fwq albnfsjyt alquswa
16905,ببساطة لإنها هي اللي مطورة التكنولوجيا دي,بِبَساطَةٍ لِإِنّْها هيَ اللّي مُطَوَّرَةٍ التِّكْنولوجْيا دي,bibasATapK li<in~ohA hya All~y muTaw~arapK Alt~ikonwlwjoyA dy,bbsatt linha hy ally mutwrt altknwlwjya dy
16906,من الأساس,مِنْ الأَساسِ,mino Al>asAsi,mn alasas
16907, على تطوير تكنولوجيا ,عَلَى تَطْويرِ تِكْنولوجْيا,EalaY taTowyri tikonwlwjoyA,ela ttwyr tknwlwjya
16908,الأشعة فوق البنفسجية القصوى,الأَشِعَّةُ فَوْقَ البَنَفْسَجيَّةِ القُصْوَى,Al>a$iE~apu fawoqa Albanafosajy~api AlquSowaY,alashetu fwq albnfsjyt alquswa
16909,اللي طولها الموجي قيمته,اللّي طولُها المَوْجيّ قيمَتُهُ,All~y TwluhA Almawojy~ qymatuhu,ally twluha almwjy qymtuhu
16910,بالمقارنة مع الطول الموجي,بِالْمُقارَنَةِ مَعَ الطّولِ المَوْجيِّ,biAlomuqAranapi maEa AlT~wli Almawojy~i,balmuqarnt me altwl almwjy
16911,الخاص بالأشعة فوق البنفسجية العميقة,الخاصُّ بِالْأَشِعَّةِ فَوْقَ البَنَفْسَجيَّةِ العَميقَةِ,AlxAS~u biAlo>a$iE~api fawoqa Albanafosajy~api AlEamyqapi,alkhasu balashet fwq albnfsjyt alemyqt
16912,وبيخلي الآلة قادرة إنها تصنع رقائق متطورة,وَبيُخَلّي الآلَةِ قادِرَةً إِنَّها تَصْنَعُ رَقائِقِ مُتَطَوِّرَةٍ,wabyuxal~y Al|lapi qAdirapF <in~ahA taSonaEu raqA}iqi mutaTaw~irapK,wbyukhly alalt qadrt inha tsneu rqayq muttwrt
16913,لإنها بتقدر تحط أعداد أكبر من الترانزستورات,لِإِنّْها بِتُقَدَّرُ تَحُطُّ أَعْدادٍ أَكْبَرَ مِنْ التّرانزستوراتْ,li<in~ohA bituqad~aru taHuT~u >aEodAdK >akobara mino Alt~rAnzstwrAto,linha btuqdru thutu aedad akbr mn altranzstwrat
16914,على شريحة السيلكون,عَلَى شَريحَةٍ اَلْسيلْكِونْ,EalaY $aryHapK Aalosylokiwno,ela shryht alsylkwn
16915,المهم,المُهِمُّ,Almuhim~u,almuhmu
16916,الشركة نجحت في إنها تنتقل,الشَّرِكَةُ نَجَحَتْ في إِنَّها تَنْتَقِلُ,Al$~arikapu najaHato fy <in~ahA tanotaqilu,alshrktu njht fy inha tntqlu
16917,وتبدأ تبيعها في السوق,وَتَبْدَأُ تَبيعُها في السّوقِ,wataboda>u tabyEuhA fy Als~wqi,wtbdau tbyeuha fy alswq
16918, من آلات الطباعة الحجرية,مِنْ آلاتِ الطِّباعَةِ الحَجَريَّةِ,mino |lAti AlT~ibAEapi AlHajary~api,mn alat altbaet alhjryt
16919,المستخدمة في تصنيع الرقائق الإلكترونية,المُسْتَخْدَمَةُ في تَصْنيعِ الرَّقائِقِ الإِلِكْتِرونيَّةِ,Almusotaxodamapu fy taSonyEi Alr~aqA}iqi Al<ilikotirwny~api,almustkhdmtu fy tsnye alrqayq alilktrwnyt
16920,ودي كانت البداية,وُدّيٌّ كانَتْ البِدايَةُ,wud~y~N kAnato AlbidAyapu,wudy kant albdaytu
16921,بعضكم دالوقت,بَعْضُكُمْ دالوقتْ,baEoDukumo dAlwqto,bedukum dalwqt
16922,ممكن يشوف إن أرقام الطلبيات دي قليلة,مُمْكِنٌ يِشوفْ إِنّْ أَرْقامَ الطّلبياتْ دي قَليلَةٌ,mumokinN yi$wfo <in~o >aroqAma AlT~lbyAto dy qalylapN,mumkn yshwf in arqam altlbyat dy qlylt
16923,وهي قليلة فعلا,وَهيَ قَليلَةُ فِعْلًا,wahya qalylapu fiEolFA,why qlyltu fela
16924,ولكنها قليلة من حيث العدد مش من حيث القيمة,وَلَكِنَّها قَليلَةٌ مِنْ حَيْثُ العَدَدِ مَشْ مِنْ حَيْثُ القيمَةُ,walakin~ahA qalylapN mino Hayovu AlEadadi ma$o mino Hayovu Alqymapu,wlknha qlylt mn hythu aledd msh mn hythu alqymtu
16925, تقدروا تعتبروها معجزة هندسية,تُقَدَّرواُ تعتبروها مُعْجِزَةً هَنْدَسيَّةً,tuqad~arwAu tEtbrwhA muEojizapF hanodasy~apF,tuqdrwau tetbrwha muejzt hndsyt
16926,ما لهاش مثيل في العالم,ما لِهاشَّ مَثيلٌ في العالَمِ,mA lihA$~a mavylN fy AlEAlami,ma lhash mthyl fy alealm
16927, أحدث ما توصلت له علوم الهندسة في العالم,أَحْدَثُ ما تَوَصَّلَتْ لَهُ عُلومُ الهَنْدَسَةِ في العالَمِ,>aHodavu mA tawaS~alato lahu Eulwmu Alhanodasapi fy AlEAlami,ahdthu ma twslt lhu eulwmu alhndst fy alealm
16928, موجود في الآلة الضخمة دي,مَوْجودٌ في الآلَةِ الضَّخْمَةِ دي,mawojwdN fy Al|lapi AlD~axomapi dy,mwjwd fy alalt aldkhmt dy
16929,من كل مكان في العالم,مِنْ كُلِّ مَكانٍ في العالَمِ,mino kul~i makAnK fy AlEAlami,mn kul mkan fy alealm
16930,في خمس أماكن حوالين العالم,في خَمْسِ أَماكِنٍ حوالَيْنِ العالَمِ,fy xamosi >amAkinK HwAlayoni AlEAlami,fy khms amakn hwalyn alealm
16931,وبعدين كل الأجزاء بتتشحن لمقر الشركة الرئيسي,وَبَعْدَيْنِ كُلِّ الأَجْزاءِ بتَتَشَحَّنَ لِمَقَرِّ الشَّرِكَةِ الرَّئيسيُّ,wabaEodayoni kul~i Al>ajozA'i btata$aH~ana limaqar~i Al$~arikapi Alr~a}ysy~u,wbedyn kul alajzae bttshhn lmqr alshrkt alryysyu
16932,في فيلدهوفن في هولندا,في فيلِدْهوفِنْ في هولَنْدا,fy fylidohwfino fy hwlanodA,fy fyldhwfn fy hwlnda
16933,علشان الآلة تتجمع هناك,عَلَشانِ الآلَةِ تَتَجَمَّعُ هُناكَ,Eala$Ani Al|lapi tatajam~aEu hunAka,elshan alalt ttjmeu hunak
16934,بعد ما الآلة تتجمع ويتم اختبارها,بَعْدَ ما الآلَةُ تَتَجَمَّعُ وَيَتِمُّ اِخْتِبارُها,baEoda mA Al|lapu tatajam~aEu wayatim~u AixotibAruhA,bed ma alaltu ttjmeu wytmu akhtbaruha
16935, والمهندسين يتأكدوا إنها شغالة,والمُهَنْدِسينَ يَتَأَكَّدوا إِنَّها شِغالَةٌ,wAlmuhanodisyna yata>ak~adwA <in~ahA $igAlapN,walmuhndsyn ytakdwa inha shghalt
16936,بيتم تفكيك الآلة تاني لإنها ضخمة جدا,بيُتْمَ تَفْكيكَ الآلَةِ تاني لِإِنّْها ضَخْمَةٌ جِدًّا,byutoma tafokyka Al|lapi tAny li<in~ohA DaxomapN jid~FA,byutm tfkyk alalt tany linha dkhmt jda
16937,وما ينفعش تتشحن قطعة واحدة,وَما ينفعشْ تَتَشَحَّنُ قِطْعَةً واحِدَةٍ,wamA ynfE$o tata$aH~anu qiToEapF wAHidapK,wma ynfesh ttshhnu qtet wahdt
16938,الآلة دي عشان تتشحن للزبون,الآلَةُ دي عَشانْ تَتَشَحَّنُ لِلزَّبونِ,Al|lapu dy Ea$Ano tata$aH~anu lilz~abwni,alaltu dy eshan ttshhnu llzbwn
16939,بتتفكك وبيتم شحن أجزائها,بِتَتَفَكَّكُ وَبيَتِمَّ شَحْنّ أَجْزائِها,bitatafak~aku wabyatim~a $aHon~ >ajozA}ihA,bttfkku wbytm shhn ajzayha
16940,علشان كدا ما حدش يستغرب,عَلَشانٌ كَدا ما حدشْ يَسْتَغْرِبُ,Eala$AnN kadA mA Hd$o yasotagoribu,elshan kda ma hdsh ystghrbu
16941,يعرف يشتري الآلة دي,يُعْرَفُ يَشْتَريَ الآلَةَ دي,yuEorafu ya$otarya Al|lapa dy,yuerfu yshtry alalt dy
16942,لخمس شركات في العالم,لِخَمْسِ شَرِكاتٍ في العالَمِ,lixamosi $arikAtK fy AlEAlami,lkhms shrkat fy alealm
16943,اتنين في أمريكا,اتْنينَ في أَمْريكا,Atonyna fy >amorykA,atnyn fy amryka
16944,واتنين في كوريا الجنوبية,واتْنينَ في كورْيا الجَنوبيَّةِ,wAtonyna fy kwroyA Aljanwby~api,watnyn fy kwrya aljnwbyt
16945,واحدة في تايوان,واحِدَةٌ في تايوانْ,wAHidapN fy tAywAno,wahdt fy taywan
16946,بنتكلم تحديدا على إنتل,بِنِتْكَلِّمْ تَحْديدًا عَلَى إِنْتِلْ,binitokal~imo taHodydFA EalaY <inotilo,bntklm thdyda ela intl
16947,ميكرون,ميكْرونْ,mykorwno,mykrwn
16948, وسامسونغ,وَسامْسونْغْ,wasAmoswnogo,wsamswngh
16949,اللي عندها القدرة إنها تنتج الرقائق الإلكترونية,اللّي عِنْدَها القُدْرَةَ إِنَّها تُنْتِجُ الرَّقائِقِ الإِلِكْتِرونيَّةُ,All~y EinodahA Alqudorapa <in~ahA tunotiju Alr~aqA}iqi Al<ilikotirwny~apu,ally endha alqudrt inha tuntju alrqayq alilktrwnytu
16950, واللي أحدث منها كمان,واللّي أَحْدَثَ مِنْها كَمانْ,wAll~y >aHodava minohA kamAno,wally ahdth mnha kman
16951, راحت طلبت من الهولنديين إنهم يبيعوا لها الآلة دي,راحَتْ طَلَبتَ مِنْ الهولَنْديّينَ إِنَّهُمْ يَبيعوا لَها الآلَةُ دي,rAHato Talabta mino Alhwlanody~yna <in~ahumo yabyEwA lahA Al|lapu dy,raht tlbt mn alhwlndyyn inhum ybyewa lha alaltu dy
16952,والهولنديين ما كانش عندهم مانع,والْهولَنْديّينَ ما كانِشَ عِنْدَهُمْ مانِعٌ,wAlohwlanody~yna mA kAni$a Einodahumo mAniEN,walhwlndyyn ma kansh endhum mane
16953,ترخيص يسمح لها,تَرْخيصُ يَسْمَحُ لَها,taroxySu yasomaHu lahA,trkhysu ysmhu lha
16954,بتصدير الآلة دي للصين,بِتَصْديرِ الآلَةِ دي لِلصّينِ,bitaSodyri Al|lapi dy lilS~yni,btsdyr alalt dy llsyn
16955,كدا خلاص بمجرد ما الآلة تتصنع هتتشحن للصين,كَدا خَلاصٌ بِمُجَرَّدِ ما الآلَةَ تَتَصَنَّعُ هتتشحنْ لِلصّينِ,kadA xalASN bimujar~adi mA Al|lapa tataSan~aEu htt$Hno lilS~yni,kda khlas bmujrd ma alalt ttsneu httshhn llsyn
16956,تفتكروا الآلة دي اتشحنت إمتى ,تَفْتَكِروا الآلَةِ دي اتشحنتْ إمتى,tafotakirwA Al|lapi dy At$Hnto <mtY,tftkrwa alalt dy atshhnt imta
16957,ما اتشحنتش أبدا,ما اتشحنتشْ أَبَدًا,mA At$Hnt$o >abadFA,ma atshhntsh abda
16958,وغالبا عمرها ما هتتشحن للصين,وَغالِبًا عُمْرُها ما هتتشحنْ لِلصّينِ,wagAlibFA EumoruhA mA htt$Hno lilS~yni,wghalba eumruha ma httshhn llsyn
16959,مارست ضغوط شديدة جدا على الحكومة الهولندية,مارَسَتْ ضُغوطُ شَديدَةٍ جِدًّا عَلَى الحُكومَةِ الهولَنْديَّةِ,mArasato DugwTu $adydapK jid~FA EalaY AlHukwmapi Alhwlanody~api,marst dughwtu shdydt jda ela alhukwmt alhwlndyt
16960,علشان تمنع تصدير الآلة دي,عَلَشانٌ تَمْنَعُ تَصْديرَ الآلَةِ دي,Eala$AnN tamonaEu taSodyra Al|lapi dy,elshan tmneu tsdyr alalt dy
16961,بأي تمن للصين,بِأَيِّ تَمَنٍ لِلصّينِ,bi>ay~i tamanK lilS~yni,bay tmn llsyn
16962,والحكومة الهولندية استجابت للضغوط دي في النهاية,والْحُكومَةُ الهولَنْديَّةُ اسْتَجابتْ لِلضُّغوطِ دي في النِّهايَةِ,wAloHukwmapu Alhwlanody~apu AsotajAbto lilD~ugwTi dy fy Aln~ihAyapi,walhukwmtu alhwlndytu astjabt lldughwt dy fy alnhayt
16963,علشان تصدر للصين آلة الطباعة الحجرية المتطورة,عَلَشانٌ تَصْدُرُ لِلصّينِ آلَةُ الطِّباعَةِ الحَجَريَّةِ المُتَطَوِّرَةِ,Eala$AnN taSoduru lilS~yni |lapu AlT~ibAEapi AlHajary~api AlmutaTaw~irapi,elshan tsduru llsyn altu altbaet alhjryt almuttwrt
16964,مشي ترمب,مَشْيَ ترمبْ,ma$oya trmbo,mshy trmb
16965, وجه الرئيس الأمريكي الحالي جو بايدن,وَجْهَ الرَّئيسُ الأَمْريكيُّ الحاليّ جوَّ بايدِنْ,wajoha Alr~a}ysu Al>amoryky~u AlHAly~ jw~a bAydino,wjh alryysu alamrykyu alhaly jw baydn
16966,اللي يبدو لحد دالوقت,اللّي يَبْدو لِحَدَّ دالوقتْ,All~y yabodw liHad~a dAlwqto,ally ybdw lhd dalwqt
16967,إنه أكتر شدة مع الصينيين من ترمب,إِنَّهُ أَكْتَرْ شِدَّةً مَعَ الصّينيّينَ مِنْ ترمبْ,<in~ahu >akotaro $id~apF maEa AlS~yny~yna mino trmbo,inhu aktr shdt me alsynyyn mn trmb
16968,خصوصا في ملف أشباه الموصلات,خُصوصًا في مِلَفِّ أَشْباهِ الموَصِّلاتِ,xuSwSFA fy milaf~i >a$obAhi AlmwaS~ilAti,khuswsa fy mlf ashbah almwslat
16969,ولكن بايدن كان شايف إن حرمان الصين,وَلَكِنْ بايدِنْ كانَ شايِفَ إِنَّ حِرْمانَ الصّينِ,walakino bAydino kAna $Ayifa <in~a HiromAna AlS~yni,wlkn baydn kan shayf in hrman alsyn
16970,لازم كمان يحرمهم,لازِمَ كَمانْ يَحْرِمُهُمْ,lAzima kamAno yaHorimuhumo,lazm kman yhrmuhum
16971,والرقائق الأكثر تطورا منها,والرَّقائِقُ الأَكْثَرُ تَطَوُّرًا مِنْها,wAlr~aqA}iqu Al>akovaru taTaw~urFA minohA,walrqayqu alakthru ttwura mnha
16972, أمريكا نجحت في إقناع اليابان وهولندا,أَمْريكا نَجَحَتْ في إِقْناعِ اليابانِ وَهولَنْدا,>amorykA najaHato fy <iqonAEi AlyAbAni wahwlanodA,amryka njht fy iqnae alyaban whwlnda
16973,إنهم يفرضوا قيود على صادراتهم,إِنَّهُمْ يَفْرِضوا قُيودَ عَلَى صادِراتِهِمْ,<in~ahumo yaforiDwA quywda EalaY SAdirAtihimo,inhum yfrdwa quywd ela sadrathm
16974,من آلات ومعدات تصنيع الرقائق الإلكترونية للصين,مِنْ آلاتِ وَمُعِدّاتٍ تَصْنيعِ الرَّقائِقِ الإِلِكْتِرونيَّةِ لِلصّينِ,mino |lAti wamuEid~AtK taSonyEi Alr~aqA}iqi Al<ilikotirwny~api lilS~yni,mn alat wmuedat tsnye alrqayq alilktrwnyt llsyn
16975,إيه المشترك بين هولندا واليابان,إيهْ المُشْتَرَكِ بَيْنَ هولَنْدا والْيابانِ,<yho Almu$otaraki bayona hwlanodA wAloyAbAni,iyh almushtrk byn hwlnda walyaban
16976,باختصار الأمريكان بيحاولوا يحاصروا الصينيين,بِاخْتِصارٍ الأَمْريكانِ بيحاولوا يُحاصِروا الصّينيّينَ,biAxotiSArK Al>amorykAni byHAwlwA yuHASirwA AlS~yny~yna,bakhtsar alamrykan byhawlwa yuhasrwa alsynyyn
16977,من كل الاتجاهات,مِنْ كُلِّ الِاتِّجاهاتِ,mino kul~i AliAt~ijAhAti,mn kul alatjahat
16978,ويقفلوا أي ثغرة ممكن ينفدوا من خلالها,وَيَقْفِلوا أَيْ ثُغْرَةٍ مُمْكِنٍ يَنْفَدوا مِنْ خِلالِها,wayaqofilwA >ayo vugorapK mumokinK yanofadwA mino xilAlihA,wyqflwa ay thughrt mumkn ynfdwa mn khlalha
16979,ويطوروا قدراتهم في تصنيع أشباه الموصلات,وَيُطَوِّروا قُدُراتِهِمْ في تَصْنيعِ أَشْباهِ الموَصِّلاتِ,wayuTaw~irwA qudurAtihimo fy taSonyEi >a$obAhi AlmwaS~ilAti,wyutwrwa qudurathm fy tsnye ashbah almwslat
16980,بسبب المحاولات الصينية لسرقة تقنياتها,بِسَبَبِ المُحاوَلاتِ الصّينيَّةِ لِسَرِقَةِ تِقْنيّاتِها,bisababi AlmuHAwalAti AlS~yny~api lisariqapi tiqony~AtihA,bsbb almuhawlat alsynyt lsrqt tqnyatha
16981,إلا إن رئيس الشركة الهولندية,إِلّا إِنّْ رَئيسَ الشَّرِكَةِ الهولَنْديَّةِ,<il~A <in~o ra}ysa Al$~arikapi Alhwlanody~api,ila in ryys alshrkt alhwlndyt
16982,شايف إن محاصرة الصين بالشكل دا,شايِفَ إِنَّ مُحاصَرَةَ الصّينِ بِالشَّكْلِ دا,$Ayifa <in~a muHASarapa AlS~yni biAl$~akoli dA,shayf in muhasrt alsyn balshkl da
16983,هتؤدي في النهاية,هتؤدي في النِّهايَةِ,ht&dy fy Aln~ihAyapi,htwdy fy alnhayt
16984, إلى إن الصينيين حيلاقوا طريقة يقدروا من خلالها,إِلَى إِنَّ الصّينيّينَ حيلاقوا طَريقَةٍ يَقْدِروا مِنْ خِلالِها,<ilaY <in~a AlS~yny~yna HylAqwA TaryqapK yaqodirwA mino xilAlihA,ila in alsynyyn hylaqwa tryqt yqdrwa mn khlalha
16985, يصنعوا بنفسهم آلات الطباعة الحجرية,يَصْنَعوا بِنَفْسِهِمْ آلاتُ الطِّباعَةِ الحَجَريَّةِ,yaSonaEwA binafosihimo |lAtu AlT~ibAEapi AlHajary~api,ysnewa bnfshm alatu altbaet alhjryt
16986,ويستغنوا تماما عن الغرب,ويَسْتَغِنوا تَمامًا عَنْ الغَرْبِ,wyasotaginwA tamAmFA Eano Algarobi,wystghnwa tmama en alghrb
16987,ومن النقطة دي ننتقل لسؤال الحلقة,وَمِن النُّقْطَةِ دي نَنْتَقِلَ لِسُؤالِ الحَلْقَةِ,wamin Aln~uqoTapi dy nanotaqila lisu&Ali AlHaloqapi,wmn alnuqtt dy nntql lsuwal alhlqt
